x,y,Height
16,28,5
16,30,5
16,32,15
16,34,40
16,36,25
16,38,95
16,40,40
16,42,75
16,44,90
16,46,100
16,48,100
16,50,65
18,0,5
18,2,0
18,4,0
18,6,50
18,8,80
18,10,40
18,12,95
18,14,50
18,16,120
18,18,25
18,20,45
18,22,65
18,24,10
18,26,15
18,28,10
18,30,10
18,32,25
18,34,130
18,36,15
18,38,100
18,40,90
18,42,135
18,44,145
18,46,80
18,48,45
18,50,60
20,0,0
20,2,0
20,4,0
20,6,5
20,8,5
20,10,15
20,12,15
20,14,45
20,16,95
20,18,45
20,20,90
20,22,15
20,24,100
20,26,35
20,28,5
20,30,20
20,32,55
20,34,145
20,36,130
20,38,50
20,40,25
20,42,70
20,44,100
20,46,90
20,48,5
20,50,5
22,0,0
22,2,0
22,4,5
22,6,10
22,8,15
22,10,10
22,12,5
22,14,5
22,16,55
22,18,25
22,20,60
22,22,30
22,24,100
22,26,15
22,28,135
22,30,20
22,32,20
22,34,100
22,36,40
22,38,35
22,40,20
22,42,100
22,44,45
22,46,45
22,48,25
22,50,10
24,0,35
24,2,0
24,4,5
24,6,10
24,8,15
24,10,30
24,12,15
24,14,25
24,16,50
24,18,35
24,20,20
24,22,55
24,24,20
24,26,20
24,28,10
24,30,115
24,32,20
24,34,75
24,36,115
24,38,125
24,40,70
24,42,20
24,44,30
24,46,85
24,48,55
24,50,20
26,0,55
26,2,30
26,4,30
26,6,20
26,8,20
26,10,25
26,12,25
26,14,45
26,16,15
26,18,15
26,20,65
26,22,55
26,24,40
26,26,110
26,28,75
26,30,15
26,32,20
26,34,90
26,36,95
26,38,10
26,40,85
26,42,50
26,44,130
26,46,55
26,48,40
26,50,20
28,0,15
28,2,65
28,4,150
28,6,130
28,8,50
28,10,30
28,12,55
28,14,95
28,16,55
28,18,15
28,20,50
28,22,25
28,24,20
28,26,15
28,28,5
28,30,55
28,32,55
28,34,75
28,36,105
28,38,90
28,40,50
28,42,75
28,44,90
28,46,80
28,48,55
28,50,20
30,0,15
30,2,15
30,4,45
30,6,15
30,8,10
30,10,55
30,12,45
30,14,15
30,16,50
30,18,55
30,20,10
30,22,35
30,24,55
30,26,10
30,28,110
30,30,70
30,32,55
30,34,60
30,36,20
30,38,20
30,40,55
30,42,70
30,44,100
30,46,85
30,48,135
30,50,30
32,0,35
32,2,70
32,4,90
32,6,25
32,8,20
32,10,15
32,12,45
32,14,55
32,16,35
32,18,55
32,20,55
32,22,20
32,24,35
32,26,20
32,28,60
32,30,65
32,32,70
32,34,80
32,36,115
32,38,45
32,40,90
32,42,70
32,44,40
32,46,60
32,48,75
32,50,5
34,0,40
34,2,35
34,4,40
34,6,30
34,8,30
34,10,35
34,12,25
34,14,10
34,16,60
34,18,20
34,20,5
34,22,0
34,24,45
34,26,45
34,28,80
34,30,85
34,32,65
34,34,45
34,36,75
34,38,75
34,40,115
34,42,65
34,44,40
34,46,50
34,48,15
34,50,25
36,0,15
36,2,15
36,4,25
36,6,5
36,8,30
36,10,15
36,12,40
36,14,95
36,16,20
36,18,20
36,20,15
36,22,100
36,24,65
36,26,30
36,28,20
36,30,105
36,32,60
36,34,30
36,36,55
36,38,120
36,40,95
36,42,120
36,44,100
36,46,15
36,48,70
36,50,45
38,0,5
38,2,15
38,4,15
38,6,25
38,8,20
38,10,15
38,12,25
38,14,10
38,16,20
38,18,15
38,20,80
38,22,50
38,24,35
38,26,45
38,28,20
38,30,55
38,32,40
38,34,50
38,36,80
38,38,80
38,40,70
38,42,45
38,44,95
38,46,25
38,48,55
38,50,20
40,0,20
40,2,20
40,4,10
40,6,40
40,8,30
40,10,5
40,12,15
40,14,55
40,16,5
40,18,5
40,20,50
40,22,40
40,24,30
40,26,25
40,28,20
40,30,65
40,32,20
40,34,85
40,36,125
40,38,45
40,40,55
40,42,20
40,44,80
40,46,25
40,48,80
40,50,70
42,0,30
42,2,15
42,4,5
42,6,40
42,8,45
42,10,35
42,12,20
42,14,35
42,16,5
42,18,45
42,20,25
42,22,10
42,24,35
42,26,20
42,28,35
42,30,60
42,32,15
42,34,75
42,36,65
42,38,25
42,40,95
42,42,50
42,44,20
42,46,75
42,48,10
42,50,15
44,0,25
44,2,35
44,4,10
44,6,60
44,8,55
44,10,100
44,12,15
44,14,30
44,16,45
44,18,50
44,20,5
44,22,10
44,24,5
44,26,30
44,28,140
44,30,20
